Frames,RightFootEE,,,RightToeBase,,,RightFoot,,,RightLeg,,,RightUpLeg,,,LeftFootEE,,,LeftToeBase,,,LeftFoot,,,LeftLeg,,,LeftUpLeg,,,RightHandEE,,,RightHand,,,RightForeArm,,,RightArm,,,RightShoulder,,,LeftHandEE,,,LeftHand,,,LeftForeArm,,,LeftArm,,,LeftShoulder,,,HeadEE,,,Head,,,Neck,,,Spine4,,,Spine3,,,Spine2,,,Spine1,,,Spine,,,Hips,,,
685,-1079.64,-1389.96,-3964.57,-1105.95,-1415.31,-3886.83,-1185.69,-1377.77,-3768.16,-1287.64,-960.555,-3796.32,-1479.64,-1044.64,-3369.4,-1602.65,-1449.8,-4059.61,-1602.88,-1473.4,-3977.02,-1593.09,-1425.17,-3837.64,-1627.22,-998.087,-3878.77,-1638.9,-1085.43,-3411.4,-1376.36,-866.616,-3490.64,-1383.57,-875.555,-3400.38,-1413.55,-890.469,-3153.3,-1491.04,-631.969,-3091.45,-1639.47,-620.957,-3170.7,-1549.65,-839.631,-3491.17,-1631.56,-802.398,-3477.64,-1868.38,-836.578,-3407.52,-1882.26,-676.17,-3182.29,-1720.3,-629.297,-3185.15,-1721.25,-353.216,-3068.2,-1696,-508.308,-3138.02,-1687.59,-593.111,-3149.2,-1685.42,-671.617,-3120.14,-1666.91,-812.778,-3142.24,-1646.37,-897.059,-3186.16,-1624.05,-958.999,-3234.3,-1589.82,-1047.22,-3291.85,-1569.45,-1059.1,-3357.55,
686,-1079.65,-1389.1,-3964.51,-1106.07,-1414.94,-3886.97,-1185.95,-1378.16,-3768.17,-1287.33,-960.689,-3794.61,-1481.34,-1045.25,-3368.69,-1602.53,-1449.88,-4059.49,-1602.88,-1473.26,-3976.83,-1593.42,-1424.65,-3837.56,-1628.05,-997.595,-3878.56,-1640.81,-1084.66,-3411.17,-1376.23,-864.868,-3489.92,-1384,-874.776,-3399.8,-1413.89,-892.409,-3152.9,-1491.78,-634.989,-3087.18,-1640.34,-622.108,-3165.92,-1549.36,-839.758,-3492.47,-1631.79,-803.944,-3478.21,-1868.27,-836.199,-3406.06,-1882.93,-677.704,-3179.53,-1721.13,-630.203,-3180.69,-1721.74,-354.231,-3064.47,-1696.71,-509.721,-3133.48,-1688.46,-594.562,-3144.49,-1686.48,-673.309,-3116.07,-1668.03,-814.222,-3139.77,-1647.59,-898.127,-3184.45,-1625.43,-959.733,-3233.09,-1591.62,-1047.7,-3291.27,-1571.26,-1059.2,-3357.04,
687,-1079.61,-1387.81,-3964.63,-1106.1,-1414.26,-3887.31,-1186.14,-1378.39,-3768.33,-1287.08,-960.704,-3792.88,-1483.43,-1045.62,-3368.11,-1602.1,-1449.67,-4059.55,-1602.61,-1472.8,-3976.82,-1593.6,-1423.73,-3837.68,-1628.95,-996.723,-3878.49,-1643.09,-1083.67,-3411.12,-1376.62,-862.894,-3489.08,-1384.78,-873.867,-3399.12,-1414.51,-894.637,-3152.43,-1492.62,-638.221,-3083.14,-1641.43,-623.137,-3161,-1549.09,-839.331,-3493.66,-1632.09,-805.151,-3478.78,-1868.17,-836.068,-3404.78,-1883.66,-679.538,-3176.94,-1722.2,-630.9,-3176.09,-1722.44,-355.163,-3060.42,-1697.61,-511.001,-3128.72,-1689.52,-595.871,-3139.61,-1687.79,-674.887,-3111.94,-1669.52,-815.519,-3137.37,-1649.24,-899.016,-3182.88,-1627.25,-960.262,-3232.05,-1593.84,-1047.96,-3290.87,-1573.45,-1059.08,-3356.7,
688,-1079.49,-1386.75,-3964.43,-1106.03,-1413.8,-3887.34,-1186.2,-1378.92,-3768.16,-1286.88,-961.065,-3790.92,-1485.89,-1046.19,-3367.43,-1600.66,-1449.39,-4059.59,-1601.65,-1472.33,-3976.82,-1593.59,-1422.93,-3837.74,-1629.41,-995.912,-3878.12,-1645.77,-1082.89,-3410.82,-1377.14,-860.758,-3488.29,-1385.7,-872.593,-3398.48,-1415.36,-896.837,-3152.11,-1493.66,-641.47,-3079.24,-1642.53,-624.128,-3156.53,-1548.8,-838.501,-3494.75,-1632.42,-806.115,-3479.3,-1868.09,-836.152,-3403.64,-1884.3,-681.539,-3174.55,-1723.29,-631.524,-3171.84,-1723.03,-355.849,-3057.22,-1698.47,-512.151,-3124.54,-1690.55,-597.07,-3135.18,-1689.1,-676.303,-3108.12,-1671.13,-816.689,-3135.08,-1651.07,-899.852,-3181.29,-1629.33,-960.81,-3230.93,-1596.38,-1048.31,-3290.3,-1576.01,-1059.13,-3356.19,
689,-1079.4,-1385.73,-3964.24,-1105.92,-1413.35,-3887.34,-1186.12,-1379.36,-3767.92,-1286.47,-961.348,-3789.07,-1488.21,-1046.71,-3366.92,-1599.73,-1449.61,-4059.43,-1601.1,-1472.34,-3976.6,-1593.76,-1422.58,-3837.61,-1629.76,-995.56,-3877.78,-1648.28,-1082.29,-3410.52,-1377.5,-858.438,-3487.75,-1386.33,-870.939,-3398.05,-1416.28,-898.778,-3152.1,-1494.96,-644.625,-3075.49,-1643.82,-625.153,-3152.28,-1548.45,-837.681,-3495.78,-1632.59,-806.954,-3479.78,-1867.89,-836.058,-3402.61,-1885.09,-683.778,-3172.02,-1724.58,-632.283,-3167.74,-1724.12,-356.669,-3054.19,-1699.65,-513.395,-3120.55,-1691.79,-598.35,-3130.94,-1690.5,-677.788,-3104.48,-1672.68,-817.898,-3132.93,-1652.8,-900.714,-3179.84,-1631.25,-961.38,-3229.92,-1598.7,-1048.68,-3289.8,-1578.4,-1059.23,-3355.75,
690,-1079.23,-1384.85,-3963.94,-1105.7,-1412.96,-3887.2,-1185.85,-1379.76,-3767.53,-1285.73,-961.56,-3787.22,-1490.21,-1047.22,-3366.45,-1598.42,-1449.43,-4059.55,-1600.32,-1472.11,-3976.72,-1593.85,-1422.27,-3837.71,-1629.36,-995.147,-3877.25,-1650.43,-1082.03,-3410.13,-1377.17,-855.91,-3487.65,-1386.52,-868.805,-3398.06,-1417.04,-900.071,-3152.59,-1496.44,-647.524,-3071.54,-1645.07,-626.273,-3148.31,-1548,-836.837,-3496.8,-1632.62,-807.742,-3480.25,-1867.56,-835.878,-3401.65,-1885.88,-686.009,-3169.58,-1725.84,-633.198,-3163.8,-1725.14,-357.612,-3051.35,-1700.79,-514.75,-3116.78,-1692.97,-599.739,-3126.92,-1691.76,-679.364,-3101.02,-1674.04,-819.188,-3130.91,-1654.3,-901.666,-3178.46,-1632.91,-962.047,-3228.95,-1600.67,-1049.16,-3289.28,-1580.44,-1059.47,-3355.29,
691,-1079.23,-1384.25,-3963.77,-1105.51,-1412.73,-3887.11,-1185.36,-1380.1,-3767.07,-1284.74,-961.722,-3785.4,-1491.58,-1047.52,-3365.82,-1597.15,-1449.47,-4059.69,-1599.62,-1472.17,-3976.88,-1593.99,-1422.38,-3837.82,-1628.65,-995.142,-3876.77,-1651.89,-1081.66,-3409.69,-1376.36,-853.164,-3487.94,-1386.13,-866.417,-3398.45,-1417.49,-900.835,-3153.5,-1497.82,-650.164,-3067.69,-1646.24,-627.474,-3144.44,-1547.48,-836.1,-3497.64,-1632.53,-808.49,-3480.82,-1867.11,-835.504,-3400.75,-1886.61,-688.199,-3167.14,-1727,-634.284,-3160.06,-1726.28,-358.629,-3048.9,-1701.95,-516.204,-3113.28,-1694.13,-601.231,-3123.1,-1692.95,-681.011,-3097.68,-1675.16,-820.55,-3128.83,-1655.43,-902.689,-3176.97,-1634.11,-962.77,-3227.84,-1602.04,-1049.6,-3288.66,-1581.84,-1059.6,-3354.72,
692,-1079.27,-1383.75,-3963.77,-1105.27,-1412.43,-3887.09,-1184.6,-1380.09,-3766.63,-1283.41,-961.527,-3783.78,-1492.26,-1047.68,-3365.27,-1596.3,-1449.41,-4059.93,-1599.24,-1472.25,-3977.17,-1594.23,-1422.71,-3838,-1627.77,-995.307,-3876.18,-1652.64,-1081.53,-3409.13,-1375.24,-850.748,-3488.61,-1385.4,-863.932,-3399.15,-1417.72,-900.946,-3154.71,-1499.18,-652.479,-3063.71,-1647.29,-628.603,-3140.7,-1546.89,-835.351,-3498.34,-1632.39,-809.15,-3481.52,-1866.49,-835.051,-3399.7,-1887.38,-689.961,-3164.83,-1728.04,-635.451,-3156.32,-1727.4,-359.748,-3046.27,-1703.06,-517.686,-3109.75,-1695.18,-602.736,-3119.32,-1693.84,-682.67,-3094.39,-1675.76,-821.878,-3126.83,-1655.96,-903.655,-3175.56,-1634.65,-963.424,-3226.8,-1602.65,-1050.01,-3288.01,-1582.52,-1059.74,-3354.14,
693,-1079.33,-1383.6,-3963.79,-1105.01,-1412.28,-3887,-1183.67,-1379.82,-3766.13,-1281.67,-961.036,-3782.41,-1492.24,-1047.41,-3364.8,-1595.41,-1449.4,-4060.14,-1598.87,-1472.42,-3977.45,-1594.5,-1423.22,-3838.14,-1626.77,-995.656,-3875.62,-1652.66,-1081.27,-3408.5,-1373.87,-849.085,-3489.47,-1384.62,-861.678,-3400,-1418.18,-900.411,-3155.99,-1500.41,-654.198,-3059.71,-1648.23,-629.63,-3137.04,-1546.35,-834.827,-3498.85,-1632.2,-809.727,-3482.11,-1865.86,-834.328,-3398.67,-1888.1,-691.586,-3162.49,-1728.97,-636.677,-3152.61,-1728.55,-360.872,-3043.68,-1704.16,-519.148,-3106.29,-1696.15,-604.215,-3115.61,-1694.49,-684.283,-3091.14,-1675.89,-823.132,-3124.79,-1655.89,-904.523,-3174.08,-1634.52,-963.949,-3225.7,-1602.49,-1050.21,-3287.35,-1582.46,-1059.63,-3353.55,
694,-1079.43,-1383.36,-3964,-1104.76,-1411.79,-3887,-1182.57,-1378.82,-3765.72,-1279.55,-959.765,-3781.34,-1491.57,-1046.86,-3364.62,-1594.99,-1449.02,-4060.5,-1598.75,-1472.26,-3977.88,-1594.67,-1423.45,-3838.42,-1625.8,-995.729,-3875.07,-1651.99,-1081.18,-3407.94,-1372.45,-848.216,-3490.32,-1383.83,-859.812,-3400.79,-1418.93,-899.49,-3157.15,-1501.5,-655.414,-3055.84,-1649.13,-630.406,-3133.4,-1545.9,-834.48,-3499.15,-1632.02,-810.219,-3482.58,-1865.26,-833.397,-3397.57,-1888.83,-692.927,-3160.15,-1729.88,-637.805,-3148.77,-1729.77,-362.093,-3040.26,-1705.3,-520.518,-3102.47,-1697.09,-605.569,-3111.75,-1694.89,-685.807,-3087.89,-1675.53,-824.192,-3123,-1655.25,-905.125,-3172.93,-1633.77,-964.174,-3224.93,-1601.59,-1050.17,-3286.87,-1581.72,-1059.4,-3353.14,
695,-1079.74,-1383.4,-3964.17,-1104.68,-1411.35,-3886.88,-1181.47,-1377.43,-3765.21,-1277.06,-958.044,-3780.35,-1490.33,-1046.01,-3364.45,-1595.07,-1448.7,-4060.76,-1598.95,-1472.08,-3978.2,-1594.91,-1423.52,-3838.64,-1625.06,-995.688,-3874.76,-1650.69,-1080.88,-3407.56,-1370.76,-848.122,-3491.02,-1383.11,-858.343,-3401.45,-1419.89,-898.386,-3158.11,-1502.35,-656.198,-3052.29,-1649.96,-631.073,-3129.85,-1545.53,-834.342,-3499.04,-1631.89,-810.677,-3482.83,-1864.82,-832.336,-3396.58,-1889.48,-694.142,-3157.95,-1730.69,-638.88,-3145.1,-1730.99,-363.327,-3036.7,-1706.41,-521.822,-3098.68,-1698.01,-606.847,-3108.03,-1695.22,-687.254,-3084.8,-1674.98,-825.135,-3121.37,-1654.32,-905.579,-3171.93,-1632.63,-964.223,-3224.3,-1600.19,-1049.92,-3286.51,-1580.4,-1058.94,-3352.84,
696,-1080.09,-1383.93,-3964.11,-1104.7,-1411.19,-3886.46,-1180.39,-1375.9,-3764.5,-1274.21,-956.108,-3779.5,-1488.88,-1044.96,-3364.52,-1595.38,-1448.59,-4060.82,-1599.22,-1472,-3978.26,-1595,-1423.52,-3838.69,-1624.66,-995.628,-3874.52,-1649.2,-1080.54,-3407.2,-1369.02,-848.622,-3491.55,-1382.24,-857.262,-3401.94,-1420.7,-897.363,-3158.87,-1503.11,-656.863,-3049.23,-1650.75,-631.624,-3126.71,-1545.2,-834.331,-3498.5,-1631.8,-811.244,-3482.77,-1864.64,-831.169,-3395.86,-1890.08,-695.394,-3155.92,-1731.46,-639.95,-3141.76,-1732.29,-364.506,-3033.46,-1707.56,-523.041,-3095.27,-1698.89,-608.033,-3104.68,-1695.4,-688.574,-3082.02,-1674.16,-825.951,-3119.89,-1653.09,-905.92,-3171.03,-1631.2,-964.166,-3223.76,-1598.49,-1049.56,-3286.25,-1578.85,-1058.35,-3352.66,
697,-1080.72,-1384.78,-3964.1,-1104.95,-1411.21,-3886.05,-1179.44,-1374.34,-3763.82,-1271.32,-954.109,-3778.71,-1487.25,-1043.88,-3364.57,-1596.16,-1448.64,-4060.78,-1599.74,-1471.96,-3978.18,-1595.1,-1423.31,-3838.68,-1624.78,-995.424,-3874.52,-1647.46,-1080.15,-3407.07,-1367.43,-849.615,-3491.92,-1381.06,-856.547,-3402.22,-1421.21,-896.476,-3159.41,-1503.71,-657.451,-3046.65,-1651.49,-632.173,-3123.84,-1544.96,-834.492,-3497.6,-1631.76,-811.748,-3482.46,-1864.67,-830.271,-3395.41,-1890.63,-696.499,-3154.41,-1732.17,-640.975,-3138.81,-1733.53,-365.725,-3030.27,-1708.63,-524.223,-3092.11,-1699.74,-609.176,-3101.66,-1695.62,-689.844,-3079.56,-1673.43,-826.723,-3118.68,-1651.92,-906.225,-3170.35,-1629.77,-964.079,-3223.41,-1596.71,-1049.16,-3286.14,-1577.14,-1057.73,-3352.59,
698,-1081.54,-1385.82,-3964.27,-1105.37,-1411.39,-3885.81,-1178.61,-1372.89,-3763.32,-1268.69,-952.262,-3777.98,-1485.66,-1042.8,-3364.55,-1597.08,-1448.82,-4060.76,-1600.28,-1471.93,-3978.09,-1595.11,-1422.92,-3838.73,-1625.47,-995.088,-3874.72,-1645.67,-1079.83,-3407.17,-1365.94,-851.189,-3492.03,-1379.78,-856.049,-3402.22,-1421.08,-895.986,-3159.6,-1504.16,-658.199,-3044.67,-1652.16,-632.708,-3121.36,-1544.74,-834.79,-3496.47,-1631.74,-812.278,-3482.15,-1864.79,-829.683,-3395.25,-1891.06,-697.528,-3153.39,-1732.81,-641.856,-3136.28,-1734.41,-366.895,-3027.14,-1709.49,-525.291,-3089.24,-1700.48,-610.204,-3099.02,-1695.88,-690.999,-3077.49,-1672.96,-827.419,-3117.77,-1651.06,-906.488,-3169.95,-1628.62,-963.976,-3223.28,-1595.12,-1048.76,-3286.17,-1575.48,-1057.13,-3352.63,
699,-1082.47,-1387.09,-3964.54,-1105.89,-1411.84,-3885.69,-1177.9,-1371.79,-3762.97,-1266.46,-950.83,-3777.36,-1484.23,-1041.83,-3364.45,-1598.12,-1449.2,-4060.75,-1600.76,-1472,-3977.97,-1594.89,-1422.46,-3838.83,-1626.56,-994.739,-3875.02,-1644.06,-1079.32,-3407.33,-1364.66,-853.015,-3491.73,-1378.57,-855.959,-3401.85,-1420.26,-896.061,-3159.32,-1504.57,-659.221,-3043.34,-1652.9,-633.182,-3119.21,-1544.53,-835.144,-3495.49,-1631.7,-812.923,-3481.83,-1865.02,-829.503,-3395.48,-1891.46,-698.608,-3152.96,-1733.49,-642.648,-3134.26,-1735.76,-367.993,-3024.48,-1710.55,-526.241,-3086.83,-1701.34,-611.108,-3096.84,-1696.35,-692.004,-3075.78,-1672.68,-828.019,-3116.99,-1650.36,-906.704,-3169.56,-1627.63,-963.859,-3223.12,-1593.75,-1048.36,-3286.2,-1574.01,-1056.5,-3352.66,
700,-1083.34,-1388.34,-3964.92,-1106.37,-1412.39,-3885.73,-1177.32,-1371.03,-3762.83,-1264.69,-949.815,-3776.81,-1483.08,-1040.92,-3364.26,-1598.92,-1449.53,-4060.75,-1601.01,-1472.02,-3977.88,-1594.52,-1421.91,-3838.97,-1627.87,-994.32,-3875.21,-1642.66,-1079.12,-3407.47,-1363.84,-854.854,-3491.04,-1377.56,-856.301,-3401.1,-1418.93,-896.801,-3158.58,-1504.98,-660.549,-3042.68,-1653.61,-633.573,-3117.62,-1544.31,-835.462,-3494.87,-1631.72,-813.848,-3481.7,-1865.3,-829.667,-3395.94,-1891.75,-699.787,-3152.87,-1734.18,-643.241,-3132.68,-1736.81,-368.907,-3022.16,-1711.43,-526.983,-3084.89,-1702.1,-611.806,-3095.14,-1696.84,-692.791,-3074.5,-1672.71,-828.489,-3116.47,-1650.08,-906.873,-3169.37,-1627.07,-963.763,-3223.09,-1592.72,-1048.04,-3286.22,-1572.82,-1056.03,-3352.65,
701,-1083.9,-1389.24,-3965.34,-1106.65,-1412.79,-3885.93,-1176.82,-1370.52,-3762.9,-1263.49,-949.141,-3776.33,-1482.28,-1040.04,-3363.94,-1599.26,-1449.83,-4060.73,-1600.91,-1471.98,-3977.76,-1594.06,-1421.26,-3839.09,-1629.22,-993.829,-3875.44,-1641.53,-1078.98,-3407.68,-1363.51,-856.542,-3490.08,-1376.76,-857.015,-3400.06,-1417.23,-898.264,-3157.51,-1505.12,-662.125,-3042.77,-1654.23,-633.952,-3116.32,-1544.18,-835.52,-3494.68,-1631.9,-814.974,-3481.89,-1865.61,-830.374,-3396.41,-1891.97,-700.704,-3153.22,-1734.79,-643.653,-3131.38,-1737.5,-369.703,-3019.96,-1712.08,-527.575,-3083.18,-1702.71,-612.358,-3093.73,-1697.35,-693.431,-3073.46,-1673.07,-828.895,-3116.09,-1650.26,-907.039,-3169.26,-1626.98,-963.703,-3223.11,-1592.13,-1047.76,-3286.25,-1571.98,-1055.59,-3352.63,
702,-1084.16,-1389.82,-3965.78,-1106.79,-1413.07,-3886.24,-1176.53,-1370.24,-3763.15,-1262.62,-948.727,-3776,-1481.87,-1039.62,-3363.85,-1599.2,-1450.03,-4060.55,-1600.55,-1471.88,-3977.49,-1593.58,-1420.61,-3839.03,-1630.38,-993.328,-3875.56,-1640.97,-1078.9,-3407.84,-1363.36,-857.678,-3488.9,-1376.12,-858.054,-3398.8,-1415.67,-900.104,-3156.24,-1504.92,-663.405,-3043.72,-1654.78,-634.307,-3115.34,-1544.11,-835.423,-3495.02,-1632.15,-816.16,-3482.44,-1865.75,-831.555,-3396.64,-1892.31,-700.981,-3153.95,-1735.33,-644.091,-3130.42,-1738.66,-370.54,-3018.11,-1712.85,-528.145,-3081.83,-1703.28,-612.871,-3092.65,-1697.79,-694.008,-3072.68,-1673.29,-829.281,-3115.8,-1650.33,-907.237,-3169.18,-1626.9,-963.734,-3223.14,-1591.8,-1047.66,-3286.32,-1571.55,-1055.39,-3352.67,
703,-1084.27,-1390.04,-3966.26,-1106.89,-1413.28,-3886.72,-1176.47,-1370.35,-3763.57,-1262.1,-948.709,-3775.56,-1481.66,-1039.47,-3363.55,-1599.05,-1450.42,-4060.13,-1600.2,-1471.96,-3976.98,-1593.23,-1420.14,-3838.72,-1631.26,-993.019,-3875.82,-1640.55,-1078.89,-3408.14,-1363.44,-858.223,-3487.59,-1375.57,-859.227,-3397.41,-1414.22,-902.193,-3154.87,-1504.35,-664.419,-3045.36,-1655.2,-634.772,-3114.63,-1543.99,-835.378,-3495.77,-1632.31,-817.449,-3483.21,-1865.66,-832.922,-3396.76,-1892.65,-700.906,-3154.9,-1735.74,-644.453,-3129.86,-1739.49,-371.35,-3016.52,-1713.37,-528.68,-3080.8,-1703.72,-613.358,-3091.92,-1698.32,-694.564,-3072.21,-1673.86,-829.73,-3115.68,-1650.8,-907.558,-3169.2,-1627.21,-963.929,-3223.23,-1591.84,-1047.74,-3286.41,-1571.35,-1055.37,-3352.7,
704,-1084.14,-1389.98,-3966.75,-1106.92,-1413.41,-3887.31,-1176.64,-1370.72,-3764.16,-1261.66,-948.938,-3775.26,-1481.77,-1039.69,-3363.54,-1598.79,-1450.68,-4059.71,-1599.87,-1472.04,-3976.52,-1593.09,-1419.88,-3838.38,-1631.93,-992.874,-3875.97,-1640.6,-1079.15,-3408.34,-1363.78,-858.122,-3486.18,-1375.08,-860.4,-3395.91,-1412.76,-904.556,-3153.43,-1503.77,-665.386,-3047.76,-1655.74,-635.11,-3114.28,-1543.65,-835.534,-3496.63,-1632.25,-818.991,-3484.08,-1865.4,-834.083,-3397.03,-1893.09,-700.896,-3155.89,-1736.26,-644.786,-3129.58,-1740.83,-372.173,-3015.11,-1714.17,-529.14,-3080.05,-1704.29,-613.747,-3091.5,-1698.87,-695.008,-3072.01,-1674.33,-830.072,-3115.76,-1651.2,-907.807,-3169.39,-1627.54,-964.112,-3223.45,-1592.08,-1047.93,-3286.56,-1571.48,-1055.59,-3352.82,
705,-1083.72,-1389.8,-3967.11,-1106.82,-1413.6,-3887.87,-1176.98,-1371.46,-3764.78,-1261.24,-949.493,-3774.97,-1482.14,-1039.99,-3363.63,-1598.78,-1451.02,-4059.45,-1599.8,-1472.25,-3976.22,-1593.14,-1419.85,-3838.16,-1632.47,-992.95,-3876.45,-1640.89,-1079.31,-3408.83,-1363.82,-857.698,-3484.67,-1374.84,-861.456,-3394.43,-1411.68,-906.904,-3152.05,-1503.13,-666.09,-3050.58,-1656.3,-635.579,-3114.16,-1543.06,-836.115,-3497.19,-1631.92,-820.721,-3485.06,-1864.93,-834.785,-3397.42,-1893.62,-700.896,-3156.79,-1736.8,-645.155,-3129.63,-1742.01,-373.056,-3013.91,-1714.91,-529.65,-3079.56,-1704.89,-614.193,-3091.36,-1699.56,-695.507,-3072.07,-1675.07,-830.521,-3116,-1651.91,-908.188,-3169.71,-1628.17,-964.431,-3223.8,-1592.63,-1048.22,-3286.91,-1571.89,-1055.84,-3353.12,
706,-1082.64,-1389.55,-3966.93,-1106.32,-1413.81,-3888,-1177.36,-1372.37,-3765.18,-1260.84,-950.236,-3774.84,-1482.72,-1041.11,-3364.11,-1598.4,-1450.98,-4059.61,-1599.53,-1472.25,-3976.39,-1593.29,-1419.9,-3838.3,-1633.09,-993.073,-3876.86,-1641.48,-1080.3,-3409.4,-1363.63,-857.45,-3483.24,-1374.77,-862.367,-3393.07,-1411.29,-908.725,-3150.82,-1502.68,-666.356,-3053.06,-1656.69,-635.909,-3114.61,-1542.24,-837.034,-3497.27,-1631.34,-822.393,-3486.01,-1864.32,-835.299,-3398.14,-1894.03,-700.68,-3158.04,-1737.2,-645.381,-3130.1,-1742.84,-373.982,-3012.57,-1715.43,-530.06,-3079.32,-1705.28,-614.512,-3091.65,-1700,-695.903,-3072.67,-1675.62,-830.831,-3116.92,-1652.52,-908.469,-3170.7,-1628.82,-964.754,-3224.76,-1593.34,-1048.83,-3287.53,-1572.51,-1056.75,-3353.68,
707,-1081.17,-1389.61,-3966.16,-1105.65,-1414.29,-3887.61,-1177.84,-1373.47,-3765.25,-1260.03,-951.087,-3774.86,-1483.64,-1041.88,-3365.05,-1597.42,-1450.96,-4059.99,-1598.96,-1472.34,-3976.81,-1593.56,-1420.18,-3838.6,-1633.43,-993.385,-3877.45,-1642.4,-1081.3,-3410.13,-1363.23,-857.042,-3481.78,-1374.79,-863.231,-3391.74,-1411.59,-910.398,-3149.69,-1502.09,-666.231,-3055.65,-1656.86,-636.318,-3115.53,-1541.14,-838.216,-3496.91,-1630.44,-824.035,-3486.66,-1863.68,-835.153,-3399.23,-1894.39,-700.26,-3159.41,-1737.44,-645.656,-3130.76,-1742.68,-374.762,-3011.76,-1715.45,-530.444,-3079.5,-1705.35,-614.835,-3092.28,-1700.13,-696.27,-3073.48,-1676.1,-831.209,-3117.89,-1653.22,-908.872,-3171.73,-1629.64,-965.203,-3225.8,-1594.21,-1049.44,-3288.38,-1573.42,-1057.54,-3354.52,
708,-1079.89,-1389.96,-3965.2,-1105.13,-1414.89,-3886.97,-1178.33,-1374.39,-3765.1,-1258.77,-951.687,-3775.25,-1483.73,-1042.77,-3366.23,-1597.32,-1451,-4060.41,-1598.88,-1472.52,-3977.26,-1593.66,-1420.58,-3838.97,-1634.03,-993.838,-3877.89,-1642.66,-1082.23,-3410.65,-1362.81,-856.614,-3480.4,-1374.92,-863.974,-3390.52,-1412.39,-911.558,-3148.65,-1501.96,-665.757,-3058.04,-1657.29,-636.455,-3116.76,-1539.71,-839.511,-3496.02,-1629.19,-825.461,-3487.28,-1863.02,-834.997,-3401.25,-1894.62,-700.917,-3161.09,-1737.85,-646.103,-3131.87,-1744.32,-375.617,-3011.7,-1716.38,-530.828,-3080.22,-1705.87,-615.118,-3093.34,-1700.28,-696.545,-3074.62,-1675.8,-831.418,-3118.98,-1652.82,-909.081,-3172.78,-1629.29,-965.474,-3226.81,-1594.05,-1049.94,-3289.18,-1573.48,-1058.31,-3355.36,
709,-1078.39,-1390.16,-3964.15,-1104.46,-1415.25,-3886.24,-1178.71,-1374.89,-3764.97,-1257.17,-951.826,-3775.79,-1483.59,-1043.37,-3367.68,-1598.14,-1449.79,-4061.6,-1599.48,-1471.55,-3978.52,-1593.98,-1419.97,-3840.1,-1634.75,-993.212,-3878.45,-1642.67,-1082.95,-3411.46,-1362.35,-855.996,-3479.14,-1375.1,-864.399,-3389.43,-1413.44,-912.528,-3147.81,-1501.39,-665.013,-3060.33,-1657.29,-636.609,-3117.98,-1538.12,-840.703,-3494.84,-1627.75,-826.675,-3487.77,-1862.21,-834.407,-3403.31,-1894.48,-701.438,-3162.63,-1737.85,-646.501,-3132.9,-1744.95,-376.415,-3011.52,-1716.66,-531.196,-3080.87,-1705.91,-615.397,-3094.35,-1699.99,-696.825,-3075.73,-1675.21,-831.627,-3120.15,-1652.19,-909.268,-3173.96,-1628.75,-965.687,-3227.99,-1593.66,-1050.31,-3290.25,-1573.31,-1058.87,-3356.46,
710,-1077.12,-1390.53,-3963.23,-1103.88,-1415.61,-3885.55,-1178.88,-1375.1,-3764.79,-1255.2,-951.661,-3776.33,-1482.98,-1044.15,-3369.2,-1598.35,-1451,-4061.21,-1599.44,-1472.63,-3978.08,-1593.54,-1420.83,-3839.77,-1634.64,-994.204,-3879.16,-1642.36,-1083.53,-3412.09,-1361.85,-854.907,-3478.21,-1375.44,-864.609,-3388.76,-1414.23,-913.083,-3147.28,-1500.88,-664.301,-3062.12,-1657.07,-636.598,-3119.33,-1536.34,-841.699,-3493.46,-1626.06,-827.438,-3488.34,-1861.18,-833.914,-3405.6,-1893.96,-702.492,-3164.13,-1737.6,-646.921,-3134.17,-1745.97,-377.037,-3012.14,-1716.99,-531.484,-3081.94,-1705.84,-615.602,-3095.62,-1699.43,-696.991,-3076.98,-1673.99,-831.708,-3121.28,-1650.8,-909.341,-3175.03,-1627.46,-965.818,-3229.05,-1592.69,-1050.64,-3291.21,-1572.68,-1059.44,-3357.5,
711,-1075.88,-1390.81,-3962.7,-1103.23,-1415.73,-3885.18,-1178.77,-1374.82,-3764.89,-1252.91,-951.015,-3777.1,-1482.11,-1044.48,-3370.99,-1599.17,-1451.04,-4061.56,-1599.78,-1472.58,-3978.41,-1593.14,-1420.64,-3840.18,-1634.92,-994.12,-3880.04,-1641.76,-1083.69,-3413,-1361.47,-853.474,-3477.75,-1375.81,-864.482,-3388.57,-1414.78,-913.11,-3147.15,-1500.19,-663.353,-3063.62,-1656.76,-636.643,-3120.28,-1534.34,-842.214,-3492.21,-1624.14,-827.88,-3488.96,-1859.84,-833.323,-3407.83,-1893.29,-703.555,-3165.56,-1737.24,-647.42,-3135.04,-1746.81,-377.781,-3012.33,-1717.2,-531.904,-3082.59,-1705.65,-615.935,-3096.47,-1698.72,-697.301,-3077.92,-1672.56,-831.846,-3122.32,-1649.17,-909.379,-3176.13,-1625.91,-965.822,-3230.21,-1591.42,-1050.72,-3292.42,-1571.77,-1059.63,-3358.8,
